Student ID,Name,Coursework,Exam
25010001,Dipesh Karki,78,64
25010002,Shristi Magar,105,58
25010003,Kritika Khadka,55,ABS
25010003,Kritika Khadka,55,41
25010004,Sujan Subedi,62,
25010005,Sagar Gurung,71,69
25010006,Manish Maharjan,48,52
25010007,Diya Basnet,83,77
25010008,Rajan Basnet,39,44
25010009,Suman Maharjan,66,60
25010010,Diya Adhikari,58,55
25010011,Aarav Tamang,74,70
25010012,Utsav Lama,45,38
25010013,Kiran Poudel,52,49
25010014,Kiran Subedi,88,81
25010015,Aayush Magar,61,57
25010016,Rojina Basnet,70,66
25010017,Sunita Sharma,35,30
25010018,Aayush Bhattarai,67,63
25010019,Binita Tamang,79,72
25010020,Utsav Pandey,56,51
